descriptor,std
#stars,4.190959563128081
#amine,0.8854397386476924
#amidine,0.2149966775518047
#acid,0.8001019821744589
#amide,2.0691456966261006
#rotor,8.324042479823431
#rtvFG,0.7434156446022807
CNS,0.5580668867884708
mol_MW,234.7905665502671
dipole,2.7513658646444785
SASA,285.54524569154506
FOSA,240.60490371866766
FISA,90.93539767097558
PISA,99.21139504609633
WPSA,22.20173982099877
volume,658.2681977169432
donorHB,2.157187498415951
accptHB,5.415098640366066
dip^2/V,0.025776106427098405
ACxDN^.5/SA,0.01530323244890812
glob,0.06647056416293914
QPpolrz,21.903610861471705
QPlogPC16,6.996343394608554
QPlogPoct,12.121277161084283
QPlogPw,9.866763656873339
QPlogPo/w,3.4970756735282333
QPlogS,2.9626571499762266
CIQPlogS,2.74372593683715
QPlogHERG,2.851115171076863
QPPCaco,466.0101781096525
QPlogBB,1.4629019924178945
QPPMDCK,304.94044247827577
QPlogKp,2.420379767286163
IP(eV),0.7299810766860402
EA(eV),0.9464992593635919
#metab,3.519381800020987
QPlogKhsa,1.1083396245917256
HumanOralAbsorption,0.6057653396156697
PercentHumanOralAbsorption,31.47381617516222
SAfluorine,5.721459609879157
SAamideO,33.68665614933563
PSA,79.90877224058424
#NandO,5.0106121445781975
RuleOfFive,0.8883647855223025
#ringatoms,6.426859940934999
#in34,0.07266989743772288
#in56,6.411891940142915
#noncon,3.2192667964531614
#nonHatm,16.64486010895453
RuleOfThree,0.5961508714608643
Jm,4487.479929871377
